training loss_epoch,epoch,step,training loss_step
4236.2744140625,0,0,
4376.37890625,1,1,
4256.9560546875,2,2,
4259.00439453125,3,3,
4273.55322265625,4,4,
4273.18017578125,5,5,
4266.392578125,6,6,
4255.12548828125,7,7,
4254.58544921875,8,8,
4277.9130859375,9,9,
4242.4697265625,10,10,
4241.5791015625,11,11,
4264.65234375,12,12,
4263.53759765625,13,13,
4242.82470703125,14,14,
4245.9345703125,15,15,
4231.93603515625,16,16,
4233.33544921875,17,17,
4245.08154296875,18,18,
4219.41845703125,19,19,
4237.95361328125,20,20,
4223.12255859375,21,21,
4242.80322265625,22,22,
4206.86669921875,23,23,
4245.39697265625,24,24,
4243.224609375,25,25,
4265.8076171875,26,26,
4248.865234375,27,27,
4235.79638671875,28,28,
4236.06298828125,29,29,
4242.94140625,30,30,
4247.26025390625,31,31,
4222.71630859375,32,32,
4222.244140625,33,33,
4226.0185546875,34,34,
4234.60693359375,35,35,
4221.7353515625,36,36,
4219.91650390625,37,37,
4229.88134765625,38,38,
4208.75830078125,39,39,
4233.537109375,40,40,
4230.41064453125,41,41,
4212.87646484375,42,42,
4227.43603515625,43,43,
4234.72802734375,44,44,
4209.0078125,45,45,
4210.3388671875,46,46,
4212.91064453125,47,47,
4218.78076171875,48,48,
,49,49,4221.3662109375
4221.3662109375,49,49,
4190.49072265625,50,50,
4246.845703125,51,51,
4226.10986328125,52,52,
4216.646484375,53,53,
4220.38720703125,54,54,
4212.55908203125,55,55,
4218.82080078125,56,56,
4216.38720703125,57,57,
4208.23779296875,58,58,
4215.32470703125,59,59,
4234.9775390625,60,60,
4218.57421875,61,61,
4221.193359375,62,62,
4212.587890625,63,63,
4231.47998046875,64,64,
4215.08984375,65,65,
4209.4443359375,66,66,
4199.615234375,67,67,
4226.572265625,68,68,
4196.12451171875,69,69,
4221.544921875,70,70,
4208.39892578125,71,71,
4206.87890625,72,72,
4228.46875,73,73,
4203.05712890625,74,74,
4201.88916015625,75,75,
4205.56591796875,76,76,
4190.57861328125,77,77,
4205.43310546875,78,78,
4197.544921875,79,79,
4220.1474609375,80,80,
4192.8349609375,81,81,
4208.419921875,82,82,
4186.26220703125,83,83,
4208.59619140625,84,84,
4207.16259765625,85,85,
4220.84375,86,86,
4192.4892578125,87,87,
4205.86083984375,88,88,
4214.09521484375,89,89,
4209.54052734375,90,90,
4206.05126953125,91,91,
4226.2158203125,92,92,
4215.80078125,93,93,
4203.5556640625,94,94,
4187.0029296875,95,95,
4206.9912109375,96,96,
4220.7529296875,97,97,
4184.501953125,98,98,
,99,99,4198.8486328125
4198.8486328125,99,99,
4215.919921875,100,100,
4241.46728515625,101,101,
4219.70068359375,102,102,
4199.53369140625,103,103,
4216.85400390625,104,104,
4217.82421875,105,105,
4218.833984375,106,106,
4235.69775390625,107,107,
4224.44677734375,108,108,
4224.97900390625,109,109,
4217.19140625,110,110,
4214.04248046875,111,111,
4208.00439453125,112,112,
4206.53173828125,113,113,
4212.95947265625,114,114,
4211.35888671875,115,115,
4194.45849609375,116,116,
4207.41552734375,117,117,
4212.66455078125,118,118,
4203.49560546875,119,119,
4212.6884765625,120,120,
4211.97265625,121,121,
4229.9150390625,122,122,
4211.51953125,123,123,
4213.3349609375,124,124,
4222.107421875,125,125,
4206.09619140625,126,126,
4203.33935546875,127,127,
4216.0498046875,128,128,
4208.53466796875,129,129,
4218.5390625,130,130,
4195.9755859375,131,131,
4220.822265625,132,132,
4209.74609375,133,133,
4220.17333984375,134,134,
4213.36865234375,135,135,
4214.02294921875,136,136,
4206.85546875,137,137,
4232.0927734375,138,138,
4204.1328125,139,139,
4193.14306640625,140,140,
4208.08984375,141,141,
4255.373046875,142,142,
4221.5078125,143,143,
4198.62548828125,144,144,
4189.5185546875,145,145,
4220.7998046875,146,146,
4204.75048828125,147,147,
4202.115234375,148,148,
,149,149,4200.98486328125
4200.98486328125,149,149,
4213.31884765625,150,150,
4206.81005859375,151,151,
4181.75146484375,152,152,
4211.12158203125,153,153,
4192.51953125,154,154,
4184.46435546875,155,155,
4199.330078125,156,156,
4196.26611328125,157,157,
4208.53662109375,158,158,
4193.95751953125,159,159,
4213.89892578125,160,160,
4209.94970703125,161,161,
4201.59765625,162,162,
4187.88525390625,163,163,
4182.5634765625,164,164,
4186.88330078125,165,165,
4198.5234375,166,166,
4198.8291015625,167,167,
4186.52587890625,168,168,
4181.50732421875,169,169,
4198.7568359375,170,170,
4191.38525390625,171,171,
4190.0478515625,172,172,
4207.69189453125,173,173,
4189.6826171875,174,174,
4212.8740234375,175,175,
4179.61962890625,176,176,
4215.0107421875,177,177,
4198.37744140625,178,178,
4202.59228515625,179,179,
4184.5087890625,180,180,
4182.69189453125,181,181,
4189.79443359375,182,182,
4184.8359375,183,183,
4206.53955078125,184,184,
4201.92919921875,185,185,
4180.86328125,186,186,
4200.90771484375,187,187,
4201.1884765625,188,188,
4187.939453125,189,189,
4196.857421875,190,190,
4195.298828125,191,191,
4203.658203125,192,192,
4198.28125,193,193,
4185.93310546875,194,194,
4199.8291015625,195,195,
4193.3623046875,196,196,
4203.27587890625,197,197,
4191.69580078125,198,198,
,199,199,4176.19189453125
4176.19189453125,199,199,
4186.63330078125,200,200,
4195.830078125,201,201,
4201.2314453125,202,202,
4169.26953125,203,203,
4205.6474609375,204,204,
4184.34619140625,205,205,
4183.1044921875,206,206,
4187.048828125,207,207,
4185.9638671875,208,208,
4178.75439453125,209,209,
4190.83154296875,210,210,
4204.5263671875,211,211,
4200.16943359375,212,212,
4205.30859375,213,213,
4208.79345703125,214,214,
4185.412109375,215,215,
4197.55078125,216,216,
4207.7919921875,217,217,
4214.90185546875,218,218,
4187.41650390625,219,219,
4193.470703125,220,220,
4211.22021484375,221,221,
4186.73974609375,222,222,
4192.69921875,223,223,
4196.119140625,224,224,
4204.7099609375,225,225,
4222.36865234375,226,226,
4186.3017578125,227,227,
4206.92431640625,228,228,
4184.67626953125,229,229,
4192.7958984375,230,230,
4194.775390625,231,231,
4218.9345703125,232,232,
4199.818359375,233,233,
4184.36083984375,234,234,
4196.92138671875,235,235,
4190.896484375,236,236,
4175.3486328125,237,237,
4196.60400390625,238,238,
4180.56884765625,239,239,
4184.6533203125,240,240,
4186.64990234375,241,241,
4180.45166015625,242,242,
4190.6611328125,243,243,
4194.13818359375,244,244,
4189.81298828125,245,245,
4187.70458984375,246,246,
4195.72021484375,247,247,
4188.5849609375,248,248,
,249,249,4179.2275390625
4179.2275390625,249,249,
4185.697265625,250,250,
4189.19580078125,251,251,
4192.455078125,252,252,
4172.63720703125,253,253,
4186.076171875,254,254,
4167.7841796875,255,255,
4177.46142578125,256,256,
4182.380859375,257,257,
4168.658203125,258,258,
4179.6455078125,259,259,
4202.72412109375,260,260,
4154.42041015625,261,261,
4171.35693359375,262,262,
4197.53955078125,263,263,
4181.49267578125,264,264,
4191.7119140625,265,265,
4194.16064453125,266,266,
4183.23046875,267,267,
4169.0537109375,268,268,
4182.03955078125,269,269,
4184.158203125,270,270,
4166.43701171875,271,271,
4178.5517578125,272,272,
4186.642578125,273,273,
4190.46728515625,274,274,
4204.68017578125,275,275,
4171.74462890625,276,276,
4165.6142578125,277,277,
4177.52099609375,278,278,
4171.41796875,279,279,
4177.9033203125,280,280,
4200.03369140625,281,281,
4187.89306640625,282,282,
4177.076171875,283,283,
4205.17431640625,284,284,
4176.1455078125,285,285,
4178.7216796875,286,286,
4195.48486328125,287,287,
4199.498046875,288,288,
4161.37939453125,289,289,
4173.00244140625,290,290,
4193.052734375,291,291,
4180.62548828125,292,292,
4147.10546875,293,293,
4169.29248046875,294,294,
4193.7001953125,295,295,
4199.68408203125,296,296,
4161.6669921875,297,297,
4191.76416015625,298,298,
,299,299,4190.439453125
4190.439453125,299,299,
4219.04931640625,300,300,
4158.82666015625,301,301,
4150.45947265625,302,302,
4178.17138671875,303,303,
4187.90673828125,304,304,
4177.6220703125,305,305,
4172.82421875,306,306,
4183.71875,307,307,
4162.58447265625,308,308,
4201.65869140625,309,309,
4161.93896484375,310,310,
4191.494140625,311,311,
4181.66259765625,312,312,
4221.4228515625,313,313,
4192.4599609375,314,314,
4191.1748046875,315,315,
4195.87109375,316,316,
4186.986328125,317,317,
4197.54541015625,318,318,
4177.16943359375,319,319,
4181.59814453125,320,320,
4175.3984375,321,321,
4175.14208984375,322,322,
4170.68505859375,323,323,
4185.50244140625,324,324,
4167.7041015625,325,325,
4181.60791015625,326,326,
4172.7744140625,327,327,
4173.32080078125,328,328,
4219.052734375,329,329,
4184.23046875,330,330,
4164.76123046875,331,331,
4176.11181640625,332,332,
4181.0302734375,333,333,
4178.42138671875,334,334,
4166.46337890625,335,335,
4146.19677734375,336,336,
4181.92333984375,337,337,
4173.24755859375,338,338,
4183.43994140625,339,339,
4173.89697265625,340,340,
4169.61865234375,341,341,
4203.76611328125,342,342,
4178.23828125,343,343,
4160.69482421875,344,344,
4164.20849609375,345,345,
4185.6435546875,346,346,
4176.498046875,347,347,
4157.99267578125,348,348,
,349,349,4162.2587890625
4162.2587890625,349,349,
4182.4658203125,350,350,
4177.8310546875,351,351,
4149.58837890625,352,352,
4203.55859375,353,353,
4193.55419921875,354,354,
4174.5859375,355,355,
4173.57861328125,356,356,
4176.8701171875,357,357,
4177.2587890625,358,358,
4170.2705078125,359,359,
4194.7666015625,360,360,
4174.47119140625,361,361,
4162.2939453125,362,362,
4167.40771484375,363,363,
4173.12744140625,364,364,
4187.05615234375,365,365,
4175.4951171875,366,366,
4186.58935546875,367,367,
4184.310546875,368,368,
4180.23095703125,369,369,
4169.7939453125,370,370,
4169.80810546875,371,371,
4153.23486328125,372,372,
4163.2900390625,373,373,
4178.4873046875,374,374,
4172.69677734375,375,375,
4153.9990234375,376,376,
4174.2890625,377,377,
4191.56884765625,378,378,
4158.39501953125,379,379,
4175.1494140625,380,380,
4173.630859375,381,381,
4194.3876953125,382,382,
4188.021484375,383,383,
4156.12109375,384,384,
4158.97900390625,385,385,
4180.6318359375,386,386,
4179.1376953125,387,387,
4192.5322265625,388,388,
4174.40478515625,389,389,
4190.77734375,390,390,
4211.44775390625,391,391,
4182.65283203125,392,392,
4181.33447265625,393,393,
4180.74267578125,394,394,
4155.1640625,395,395,
4185.8857421875,396,396,
4179.904296875,397,397,
4172.69580078125,398,398,
,399,399,4166.68505859375
4166.68505859375,399,399,
4159.05517578125,400,400,
4165.5966796875,401,401,
4172.38525390625,402,402,
4161.25830078125,403,403,
4166.95751953125,404,404,
4165.85302734375,405,405,
4183.490234375,406,406,
4156.7861328125,407,407,
4195.6806640625,408,408,
4170.09228515625,409,409,
4176.658203125,410,410,
4178.99462890625,411,411,
4177.57958984375,412,412,
4175.64306640625,413,413,
4154.025390625,414,414,
4147.86279296875,415,415,
4150.74560546875,416,416,
4180.212890625,417,417,
4184.14111328125,418,418,
4148.96337890625,419,419,
4163.96435546875,420,420,
4175.33154296875,421,421,
4182.74658203125,422,422,
4154.6923828125,423,423,
4175.525390625,424,424,
4169.12548828125,425,425,
4205.2666015625,426,426,
4179.16015625,427,427,
4182.240234375,428,428,
4164.55859375,429,429,
4152.677734375,430,430,
4150.05517578125,431,431,
4165.07861328125,432,432,
4149.71435546875,433,433,
4179.009765625,434,434,
4160.048828125,435,435,
4151.12109375,436,436,
4158.5751953125,437,437,
4160.8251953125,438,438,
4148.75830078125,439,439,
4155.5419921875,440,440,
4166.220703125,441,441,
4151.19873046875,442,442,
4154.984375,443,443,
4174.1572265625,444,444,
4169.3017578125,445,445,
4153.11474609375,446,446,
4146.56884765625,447,447,
4169.66552734375,448,448,
,449,449,4152.07958984375
4152.07958984375,449,449,
4155.76025390625,450,450,
4154.7431640625,451,451,
4178.47216796875,452,452,
4184.64306640625,453,453,
4191.3974609375,454,454,
4163.02490234375,455,455,
4182.1455078125,456,456,
4145.12109375,457,457,
4181.9462890625,458,458,
4162.40087890625,459,459,
4164.853515625,460,460,
4168.05810546875,461,461,
4167.595703125,462,462,
4182.33349609375,463,463,
4152.0771484375,464,464,
4155.21923828125,465,465,
4180.20654296875,466,466,
4151.720703125,467,467,
4143.24853515625,468,468,
4179.16650390625,469,469,
4185.94580078125,470,470,
4169.3994140625,471,471,
4162.75634765625,472,472,
4150.74755859375,473,473,
4169.92138671875,474,474,
4153.91259765625,475,475,
4155.42919921875,476,476,
4169.9697265625,477,477,
4170.90087890625,478,478,
4172.4873046875,479,479,
4170.87255859375,480,480,
4174.2333984375,481,481,
4160.11669921875,482,482,
4172.77880859375,483,483,
4164.11962890625,484,484,
4153.9111328125,485,485,
4158.34912109375,486,486,
4146.95947265625,487,487,
4167.4619140625,488,488,
4156.11181640625,489,489,
4161.0595703125,490,490,
4155.833984375,491,491,
4184.25048828125,492,492,
4156.5654296875,493,493,
4191.77294921875,494,494,
4182.76953125,495,495,
4171.25732421875,496,496,
4145.78515625,497,497,
4186.32861328125,498,498,
,499,499,4170.3330078125
4170.3330078125,499,499,
